"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 11 09:27:25 GMT 2022","Sat Jun 11 09:27:29 GMT 2022","4283","test_conduit","test_main","TestConduit","","","test_sign_in",""
"passed","Sat Jun 11 09:27:14 GMT 2022","Sat Jun 11 09:27:18 GMT 2022","3577","test_conduit","test_main","TestConduit","","","test_registration_valid",""
"passed","Sat Jun 11 09:28:03 GMT 2022","Sat Jun 11 09:28:29 GMT 2022","25689","test_conduit","test_main","TestConduit","","","test_delete_data",""
"passed","Sat Jun 11 09:27:46 GMT 2022","Sat Jun 11 09:27:51 GMT 2022","5392","test_conduit","test_main","TestConduit","","","test_page_navigation",""
"passed","Sat Jun 11 09:27:44 GMT 2022","Sat Jun 11 09:27:44 GMT 2022","143","test_conduit","test_main","TestConduit","","","test_popular_tag_list",""
"passed","Sat Jun 11 09:27:53 GMT 2022","Sat Jun 11 09:28:01 GMT 2022","8684","test_conduit","test_main","TestConduit","","","test_adding_new_input",""
"passed","Sat Jun 11 09:27:19 GMT 2022","Sat Jun 11 09:27:24 GMT 2022","4387","test_conduit","test_main","TestConduit","","","test_logout",""
"passed","Sat Jun 11 09:27:31 GMT 2022","Sat Jun 11 09:27:42 GMT 2022","11067","test_conduit","test_main","TestConduit","","","test_accept_cookies",""
