"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 14 15:55:36 GMT 2022","Tue Jun 14 15:55:46 GMT 2022","10053","test_conduit","test_main","TestConduit","","","test_sign_in",""
"passed","Tue Jun 14 15:55:48 GMT 2022","Tue Jun 14 15:55:59 GMT 2022","11105","test_conduit","test_main","TestConduit","","","test_accept_cookies",""
"broken","Tue Jun 14 15:55:12 GMT 2022","Tue Jun 14 15:55:22 GMT 2022","10018","test_conduit","test_main","TestConduit","","","test_registration_invalid",""
"broken","Tue Jun 14 15:55:24 GMT 2022","Tue Jun 14 15:55:34 GMT 2022","10026","test_conduit","test_main","TestConduit","","","test_registration_valid",""
