"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 08 20:01:20 GMT 2022","Wed Jun 08 20:01:25 GMT 2022","4330","test_conduit","test_main","TestConduit","","","test_logout",""
"passed","Wed Jun 08 20:01:15 GMT 2022","Wed Jun 08 20:01:19 GMT 2022","3875","test_conduit","test_main","TestConduit","","","test_registration_valid",""
"passed","Wed Jun 08 20:01:26 GMT 2022","Wed Jun 08 20:01:31 GMT 2022","4257","test_conduit","test_main","TestConduit","","","test_sign_in",""
