"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 11 09:14:49 GMT 2022","Sat Jun 11 09:14:54 GMT 2022","5417","test_conduit","test_main","TestConduit","","","test_page_navigation",""
"passed","Sat Jun 11 09:14:56 GMT 2022","Sat Jun 11 09:15:05 GMT 2022","8728","test_conduit","test_main","TestConduit","","","test_adding_new_input",""
"passed","Sat Jun 11 09:14:28 GMT 2022","Sat Jun 11 09:14:32 GMT 2022","4304","test_conduit","test_main","TestConduit","","","test_sign_in",""
"passed","Sat Jun 11 09:14:22 GMT 2022","Sat Jun 11 09:14:26 GMT 2022","4398","test_conduit","test_main","TestConduit","","","test_logout",""
"broken","Sat Jun 11 09:15:06 GMT 2022","Sat Jun 11 09:15:06 GMT 2022","13","test_conduit","test_main","TestConduit","","","test_delete_data",""
"passed","Sat Jun 11 09:14:34 GMT 2022","Sat Jun 11 09:14:45 GMT 2022","11068","test_conduit","test_main","TestConduit","","","test_accept_cookies",""
"passed","Sat Jun 11 09:14:16 GMT 2022","Sat Jun 11 09:14:20 GMT 2022","3782","test_conduit","test_main","TestConduit","","","test_registration_valid",""
"passed","Sat Jun 11 09:14:47 GMT 2022","Sat Jun 11 09:14:47 GMT 2022","159","test_conduit","test_main","TestConduit","","","test_popular_tag_list",""
