"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 16 19:47:57 GMT 2022","Thu Jun 16 19:48:04 GMT 2022","7094","test_conduit","test_main","TestConduit","","","test_adding_new_input",""
"passed","Thu Jun 16 19:47:49 GMT 2022","Thu Jun 16 19:47:49 GMT 2022","162","test_conduit","test_main","TestConduit","","","test_popular_tag_list",""
"passed","Thu Jun 16 19:47:27 GMT 2022","Thu Jun 16 19:47:29 GMT 2022","2639","test_conduit","test_main","TestConduit","","","test_registration_valid",""
"passed","Thu Jun 16 19:47:52 GMT 2022","Thu Jun 16 19:47:55 GMT 2022","3437","test_conduit","test_main","TestConduit","","","test_page_navigation",""
"passed","Thu Jun 16 19:48:19 GMT 2022","Thu Jun 16 19:48:23 GMT 2022","3766","test_conduit","test_main","TestConduit","","","test_delete_data",""
"passed","Thu Jun 16 19:47:31 GMT 2022","Thu Jun 16 19:47:33 GMT 2022","2290","test_conduit","test_main","TestConduit","","","test_sign_in",""
"passed","Thu Jun 16 19:47:35 GMT 2022","Thu Jun 16 19:47:46 GMT 2022","11051","test_conduit","test_main","TestConduit","","","test_accept_cookies",""
"passed","Thu Jun 16 19:48:24 GMT 2022","Thu Jun 16 19:48:25 GMT 2022","168","test_conduit","test_main","TestConduit","","","test_export_data",""
"broken","Thu Jun 16 19:48:13 GMT 2022","Thu Jun 16 19:48:17 GMT 2022","4407","test_conduit","test_main","TestConduit","","","test_change_profile_pic",""
"passed","Thu Jun 16 19:47:22 GMT 2022","Thu Jun 16 19:47:25 GMT 2022","2877","test_conduit","test_main","TestConduit","","","test_registration_invalid",""
"passed","Thu Jun 16 19:48:26 GMT 2022","Thu Jun 16 19:48:29 GMT 2022","2373","test_conduit","test_main","TestConduit","","","test_logout",""
"passed","Thu Jun 16 19:48:06 GMT 2022","Thu Jun 16 19:48:11 GMT 2022","4605","test_conduit","test_main","TestConduit","","","test_add_comments_from_input",""
