"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 20:15:28 GMT 2022","Tue Jun 28 20:15:32 GMT 2022","4380","test_conduit","test_main","TestConduit","","","test_change_profile_pic",""
"passed","Tue Jun 28 20:15:40 GMT 2022","Tue Jun 28 20:15:40 GMT 2022","177","test_conduit","test_main","TestConduit","","","test_export_data",""
"passed","Tue Jun 28 20:14:38 GMT 2022","Tue Jun 28 20:14:41 GMT 2022","3323","test_conduit","test_main","TestConduit","","","test_registration_invalid",""
"passed","Tue Jun 28 20:15:21 GMT 2022","Tue Jun 28 20:15:26 GMT 2022","4656","test_conduit","test_main","TestConduit","","","test_add_comments_from_input",""
"passed","Tue Jun 28 20:15:34 GMT 2022","Tue Jun 28 20:15:38 GMT 2022","3811","test_conduit","test_main","TestConduit","","","test_delete_data",""
"passed","Tue Jun 28 20:15:42 GMT 2022","Tue Jun 28 20:15:44 GMT 2022","2405","test_conduit","test_main","TestConduit","","","test_logout",""
"passed","Tue Jun 28 20:15:05 GMT 2022","Tue Jun 28 20:15:05 GMT 2022","169","test_conduit","test_main","TestConduit","","","test_popular_tag_list",""
"passed","Tue Jun 28 20:14:52 GMT 2022","Tue Jun 28 20:15:03 GMT 2022","11077","test_conduit","test_main","TestConduit","","","test_accept_cookies",""
"passed","Tue Jun 28 20:14:43 GMT 2022","Tue Jun 28 20:14:46 GMT 2022","2833","test_conduit","test_main","TestConduit","","","test_registration_valid",""
"passed","Tue Jun 28 20:14:48 GMT 2022","Tue Jun 28 20:14:50 GMT 2022","2321","test_conduit","test_main","TestConduit","","","test_sign_in",""
"passed","Tue Jun 28 20:15:07 GMT 2022","Tue Jun 28 20:15:10 GMT 2022","3431","test_conduit","test_main","TestConduit","","","test_page_navigation",""
"passed","Tue Jun 28 20:15:12 GMT 2022","Tue Jun 28 20:15:19 GMT 2022","7063","test_conduit","test_main","TestConduit","","","test_adding_new_input",""
