"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 16 19:03:11 GMT 2022","Thu Jun 16 19:03:13 GMT 2022","2321","test_conduit","test_main","TestConduit","","","test_logout",""
"passed","Thu Jun 16 19:02:38 GMT 2022","Thu Jun 16 19:02:41 GMT 2022","3356","test_conduit","test_main","TestConduit","","","test_page_navigation",""
"passed","Thu Jun 16 19:02:21 GMT 2022","Thu Jun 16 19:02:32 GMT 2022","11083","test_conduit","test_main","TestConduit","","","test_accept_cookies",""
"passed","Thu Jun 16 19:02:35 GMT 2022","Thu Jun 16 19:02:35 GMT 2022","134","test_conduit","test_main","TestConduit","","","test_popular_tag_list",""
"passed","Thu Jun 16 19:02:43 GMT 2022","Thu Jun 16 19:02:50 GMT 2022","6900","test_conduit","test_main","TestConduit","","","test_adding_new_input",""
"passed","Thu Jun 16 19:02:13 GMT 2022","Thu Jun 16 19:02:15 GMT 2022","2368","test_conduit","test_main","TestConduit","","","test_registration_valid",""
"passed","Thu Jun 16 19:02:17 GMT 2022","Thu Jun 16 19:02:19 GMT 2022","2268","test_conduit","test_main","TestConduit","","","test_sign_in",""
"passed","Thu Jun 16 19:02:58 GMT 2022","Thu Jun 16 19:03:01 GMT 2022","3348","test_conduit","test_main","TestConduit","","","test_change_profile_pic",""
"passed","Thu Jun 16 19:03:03 GMT 2022","Thu Jun 16 19:03:06 GMT 2022","3686","test_conduit","test_main","TestConduit","","","test_delete_data",""
"passed","Thu Jun 16 19:02:51 GMT 2022","Thu Jun 16 19:02:56 GMT 2022","4520","test_conduit","test_main","TestConduit","","","test_add_comments_from_input",""
"passed","Thu Jun 16 19:02:09 GMT 2022","Thu Jun 16 19:02:11 GMT 2022","2347","test_conduit","test_main","TestConduit","","","test_registration_invalid",""
"passed","Thu Jun 16 19:03:08 GMT 2022","Thu Jun 16 19:03:08 GMT 2022","144","test_conduit","test_main","TestConduit","","","test_export_data",""
