"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 11 09:19:37 GMT 2022","Sat Jun 11 09:19:48 GMT 2022","11065","test_conduit","test_main","TestConduit","","","test_accept_cookies",""
"passed","Sat Jun 11 09:19:52 GMT 2022","Sat Jun 11 09:19:57 GMT 2022","5472","test_conduit","test_main","TestConduit","","","test_page_navigation",""
"failed","Sat Jun 11 09:20:09 GMT 2022","Sat Jun 11 09:20:35 GMT 2022","25835","test_conduit","test_main","TestConduit","","","test_delete_data",""
"passed","Sat Jun 11 09:19:30 GMT 2022","Sat Jun 11 09:19:35 GMT 2022","4344","test_conduit","test_main","TestConduit","","","test_sign_in",""
"passed","Sat Jun 11 09:19:18 GMT 2022","Sat Jun 11 09:19:22 GMT 2022","3859","test_conduit","test_main","TestConduit","","","test_registration_valid",""
"passed","Sat Jun 11 09:19:50 GMT 2022","Sat Jun 11 09:19:50 GMT 2022","174","test_conduit","test_main","TestConduit","","","test_popular_tag_list",""
"passed","Sat Jun 11 09:19:24 GMT 2022","Sat Jun 11 09:19:29 GMT 2022","4452","test_conduit","test_main","TestConduit","","","test_logout",""
"passed","Sat Jun 11 09:19:59 GMT 2022","Sat Jun 11 09:20:08 GMT 2022","8809","test_conduit","test_main","TestConduit","","","test_adding_new_input",""
