"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 11 09:45:53 GMT 2022","Sat Jun 11 09:46:00 GMT 2022","7380","test_conduit","test_main","TestConduit","","","test_change_profile_pic",""
"passed","Sat Jun 11 09:45:18 GMT 2022","Sat Jun 11 09:45:29 GMT 2022","11083","test_conduit","test_main","TestConduit","","","test_accept_cookies",""
"passed","Sat Jun 11 09:45:42 GMT 2022","Sat Jun 11 09:45:51 GMT 2022","8748","test_conduit","test_main","TestConduit","","","test_adding_new_input",""
"passed","Sat Jun 11 09:45:35 GMT 2022","Sat Jun 11 09:45:41 GMT 2022","5414","test_conduit","test_main","TestConduit","","","test_page_navigation",""
"passed","Sat Jun 11 09:44:56 GMT 2022","Sat Jun 11 09:44:59 GMT 2022","2606","test_conduit","test_main","TestConduit","","","test_registration_invalid",""
"passed","Sat Jun 11 09:45:32 GMT 2022","Sat Jun 11 09:45:32 GMT 2022","162","test_conduit","test_main","TestConduit","","","test_popular_tag_list",""
"passed","Sat Jun 11 09:46:02 GMT 2022","Sat Jun 11 09:46:28 GMT 2022","25864","test_conduit","test_main","TestConduit","","","test_delete_data",""
"passed","Sat Jun 11 09:45:12 GMT 2022","Sat Jun 11 09:45:16 GMT 2022","4319","test_conduit","test_main","TestConduit","","","test_sign_in",""
"passed","Sat Jun 11 09:45:00 GMT 2022","Sat Jun 11 09:45:04 GMT 2022","3589","test_conduit","test_main","TestConduit","","","test_registration_valid",""
"passed","Sat Jun 11 09:45:06 GMT 2022","Sat Jun 11 09:45:10 GMT 2022","4482","test_conduit","test_main","TestConduit","","","test_logout",""
