"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 16 06:31:52 GMT 2022","Thu Jun 16 06:31:54 GMT 2022","2337","test_conduit","test_main","TestConduit","","","test_logout",""
"passed","Thu Jun 16 06:31:23 GMT 2022","Thu Jun 16 06:31:47 GMT 2022","23710","test_conduit","test_main","TestConduit","","","test_delete_data",""
"passed","Thu Jun 16 06:30:46 GMT 2022","Thu Jun 16 06:30:48 GMT 2022","2269","test_conduit","test_main","TestConduit","","","test_sign_in",""
"passed","Thu Jun 16 06:30:38 GMT 2022","Thu Jun 16 06:30:40 GMT 2022","2336","test_conduit","test_main","TestConduit","","","test_registration_invalid",""
"passed","Thu Jun 16 06:31:50 GMT 2022","Thu Jun 16 06:31:50 GMT 2022","145","test_conduit","test_main","TestConduit","","","test_export_data",""
"passed","Thu Jun 16 06:30:42 GMT 2022","Thu Jun 16 06:30:44 GMT 2022","2358","test_conduit","test_main","TestConduit","","","test_registration_valid",""
"passed","Thu Jun 16 06:31:05 GMT 2022","Thu Jun 16 06:31:08 GMT 2022","3344","test_conduit","test_main","TestConduit","","","test_page_navigation",""
"passed","Thu Jun 16 06:31:10 GMT 2022","Thu Jun 16 06:31:17 GMT 2022","6951","test_conduit","test_main","TestConduit","","","test_adding_new_input",""
"passed","Thu Jun 16 06:31:18 GMT 2022","Thu Jun 16 06:31:22 GMT 2022","3438","test_conduit","test_main","TestConduit","","","test_change_profile_pic",""
"passed","Thu Jun 16 06:30:49 GMT 2022","Thu Jun 16 06:31:00 GMT 2022","11046","test_conduit","test_main","TestConduit","","","test_accept_cookies",""
"passed","Thu Jun 16 06:31:03 GMT 2022","Thu Jun 16 06:31:03 GMT 2022","126","test_conduit","test_main","TestConduit","","","test_popular_tag_list",""
