"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 15 19:08:04 GMT 2022","Wed Jun 15 19:08:05 GMT 2022","181","test_conduit","test_main","TestConduit","","","test_export_data",""
"passed","Wed Jun 15 19:06:40 GMT 2022","Wed Jun 15 19:06:42 GMT 2022","2462","test_conduit","test_main","TestConduit","","","test_registration_invalid",""
"passed","Wed Jun 15 19:07:12 GMT 2022","Wed Jun 15 19:07:17 GMT 2022","5463","test_conduit","test_main","TestConduit","","","test_page_navigation",""
"passed","Wed Jun 15 19:07:09 GMT 2022","Wed Jun 15 19:07:09 GMT 2022","181","test_conduit","test_main","TestConduit","","","test_popular_tag_list",""
"passed","Wed Jun 15 19:06:44 GMT 2022","Wed Jun 15 19:06:47 GMT 2022","2656","test_conduit","test_main","TestConduit","","","test_registration_valid",""
"passed","Wed Jun 15 19:06:55 GMT 2022","Wed Jun 15 19:07:06 GMT 2022","11066","test_conduit","test_main","TestConduit","","","test_accept_cookies",""
"passed","Wed Jun 15 19:07:19 GMT 2022","Wed Jun 15 19:07:28 GMT 2022","8815","test_conduit","test_main","TestConduit","","","test_adding_new_input",""
"passed","Wed Jun 15 19:08:07 GMT 2022","Wed Jun 15 19:08:12 GMT 2022","4420","test_conduit","test_main","TestConduit","","","test_logout",""
"passed","Wed Jun 15 19:07:37 GMT 2022","Wed Jun 15 19:08:03 GMT 2022","25911","test_conduit","test_main","TestConduit","","","test_delete_data",""
"passed","Wed Jun 15 19:06:49 GMT 2022","Wed Jun 15 19:06:53 GMT 2022","4336","test_conduit","test_main","TestConduit","","","test_sign_in",""
"passed","Wed Jun 15 19:07:29 GMT 2022","Wed Jun 15 19:07:35 GMT 2022","5665","test_conduit","test_main","TestConduit","","","test_change_profile_pic",""
