"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 16 19:22:35 GMT 2022","Thu Jun 16 19:22:38 GMT 2022","3520","test_conduit","test_main","TestConduit","","","test_change_profile_pic",""
"passed","Thu Jun 16 19:21:53 GMT 2022","Thu Jun 16 19:21:55 GMT 2022","2364","test_conduit","test_main","TestConduit","","","test_sign_in",""
"passed","Thu Jun 16 19:21:49 GMT 2022","Thu Jun 16 19:21:51 GMT 2022","2508","test_conduit","test_main","TestConduit","","","test_registration_valid",""
"passed","Thu Jun 16 19:22:40 GMT 2022","Thu Jun 16 19:22:44 GMT 2022","3833","test_conduit","test_main","TestConduit","","","test_delete_data",""
"passed","Thu Jun 16 19:21:44 GMT 2022","Thu Jun 16 19:21:47 GMT 2022","2392","test_conduit","test_main","TestConduit","","","test_registration_invalid",""
"passed","Thu Jun 16 19:22:28 GMT 2022","Thu Jun 16 19:22:33 GMT 2022","4648","test_conduit","test_main","TestConduit","","","test_add_comments_from_input",""
"passed","Thu Jun 16 19:22:19 GMT 2022","Thu Jun 16 19:22:26 GMT 2022","7113","test_conduit","test_main","TestConduit","","","test_adding_new_input",""
"passed","Thu Jun 16 19:21:57 GMT 2022","Thu Jun 16 19:22:08 GMT 2022","11067","test_conduit","test_main","TestConduit","","","test_accept_cookies",""
"passed","Thu Jun 16 19:22:11 GMT 2022","Thu Jun 16 19:22:11 GMT 2022","152","test_conduit","test_main","TestConduit","","","test_popular_tag_list",""
"passed","Thu Jun 16 19:22:14 GMT 2022","Thu Jun 16 19:22:17 GMT 2022","3394","test_conduit","test_main","TestConduit","","","test_page_navigation",""
"passed","Thu Jun 16 19:22:46 GMT 2022","Thu Jun 16 19:22:46 GMT 2022","162","test_conduit","test_main","TestConduit","","","test_export_data",""
"passed","Thu Jun 16 19:22:49 GMT 2022","Thu Jun 16 19:22:51 GMT 2022","2406","test_conduit","test_main","TestConduit","","","test_logout",""
